time,open,high,low,close,volume,note
2018-01-02,71.7600,71.9900,70.1800,71.1000,21238221,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-03,71.4200,75.2900,71.0800,73.8700,39644420,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-04,73.3800,75.3000,73.3400,73.9300,27819563,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-05,73.7800,74.3700,71.5200,71.9000,24345192,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-08,71.8200,72.6800,69.5700,72.2900,25798055,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-09,71.8700,73.6500,71.6000,71.9100,18636426,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-10,71.5000,71.8000,69.5400,69.8700,23088448,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-11,69.8000,70.9100,69.4100,70.4300,14301479,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-12,70.7500,70.7500,69.5000,69.8000,12457160,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-15,69.1100,69.1200,62.8200,62.8200,45374792,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-16,60.9500,62.6400,59.7800,60.8700,29620062,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-17,60.5000,60.5000,55.1000,59.5000,36528224,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-18,58.5100,60.3800,58.5100,59.1700,16741249,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-19,58.7700,60.4600,58.0000,59.3700,15704923,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-22,59.3700,60.4000,57.8100,60.0000,17688094,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-23,60.3600,61.3200,59.8000,60.8600,18113620,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2018-01-24,60.9000,60.9000,59.8100,60.5000,12819632,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
