time,open,high,low,close,volume,note
2026-01-05,24.3900,24.6500,24.2100,24.6500,7614408,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-06,24.6500,24.9900,24.1800,24.3400,14117550,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-07,24.3000,24.3700,23.8200,23.8800,11308306,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-08,23.8100,24.0200,23.5300,23.8700,8705584,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-09,23.8900,24.3900,23.8500,24.3000,11922601,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-12,24.6000,26.0300,24.5500,25.3500,30015285,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-13,25.3000,25.4400,23.8200,23.9400,22300382,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-14,24.1600,24.3500,23.7000,23.7900,15247574,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-15,23.8200,23.9900,23.4300,23.5000,12509500,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-16,23.5200,23.6900,23.2900,23.4200,10335807,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-19,23.4100,23.8000,23.3100,23.6100,11812864,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-20,23.6300,24.0400,23.5200,24.0200,11737201,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-21,24.0200,25.0500,23.9200,24.4800,20472920,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-22,24.5000,24.7600,24.1200,24.2700,9351559,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-23,24.2800,24.9100,24.1800,24.7500,13248377,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-26,24.7500,25.1700,24.1500,24.2800,11379357,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-27,24.2600,24.6500,23.9500,24.4600,11497007,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-28,24.4200,24.7700,24.1500,24.2800,10501208,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-29,24.3000,25.1000,24.2300,24.6300,13640330,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-01-30,24.5200,25.0700,24.2200,24.8600,11401573,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-02,24.8500,24.8500,23.7600,23.7800,14145437,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-02-03,23.9100,24.2000,23.2200,23.5300,13495630,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
