time,open,high,low,close,volume,note
2018-01-02,47.6600,48.1900,46.5800,47.2100,32077257,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-03,46.9700,49.5600,46.7700,49.2200,46490814,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-04,48.7000,50.8800,48.6200,49.8100,53436131,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-05,49.4600,49.6500,48.2000,48.2000,31659011,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-08,47.5500,47.6400,46.0100,47.1400,33148903,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-09,47.0000,47.4000,46.3500,46.9400,18262945,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-10,46.8500,47.4600,45.7100,46.2000,22455870,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-11,45.8500,47.4200,45.7300,47.0000,24164319,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-12,46.8000,47.4500,45.6000,45.6000,20947783,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-15,45.0000,45.0200,41.0400,41.2200,46067679,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-16,40.3900,41.6800,40.2000,40.7500,23076200,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-17,40.9000,42.1000,38.5900,41.5300,32083818,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-18,40.8000,41.2600,40.0000,40.0000,18171873,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-19,40.1000,40.7500,39.5000,39.5800,16170716,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-22,39.6600,40.5100,38.5000,40.0500,18459884,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-23,39.9300,40.7800,39.9000,40.1700,14130181,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-24,40.2500,43.9900,39.6500,42.9000,36312288,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-25,42.5000,43.2000,42.0000,42.0000,21239807,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-26,42.2000,42.7700,41.5100,41.6400,14055687,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-29,41.5000,42.2000,39.2000,39.7300,19951478,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-30,39.3100,39.9800,38.8400,39.1900,11790701,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-01-31,38.5000,39.0000,35.6800,36.5900,24005423,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-01,36.6700,37.2600,35.9600,36.4000,16414371,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-02,36.1000,37.3000,34.8600,36.6100,14081705,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-05,35.8200,37.4000,35.4800,36.0300,11891635,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-06,34.6200,35.8800,33.2200,33.4000,17853266,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-07,34.3500,35.2500,32.9000,34.3900,20159752,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-08,34.2000,36.0000,34.0000,35.7400,19982814,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-09,34.5800,35.9700,33.5100,34.1700,18130181,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-12,34.8000,36.3000,34.5100,36.1100,17851089,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-13,36.5000,36.6500,35.6300,35.7000,16847784,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-14,35.8900,35.9900,34.6000,34.8000,11373218,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-22,35.8600,38.2800,35.4100,38.2800,27638407,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-23,39.0900,41.5000,38.2800,40.9400,46058805,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-26,40.2500,43.4800,40.2500,42.3200,44549623,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2018-02-27,42.4600,43.1800,41.5200,42.4800,34433826,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
