time,open,high,low,close,volume,note
2018-01-02,15.4500,15.9800,15.0000,15.9300,157146197,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-03,15.8000,16.1800,15.5400,15.6900,145162477,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-04,15.5100,17.1700,15.4300,16.8200,205704002,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-05,16.5500,16.9500,16.3800,16.6500,137817569,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-08,16.5200,17.0900,16.3800,17.0300,130298106,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-09,16.9300,17.1500,16.1700,16.4700,124162958,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-10,16.2600,16.8600,16.1700,16.6700,112790497,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-11,16.4000,16.7900,16.1000,16.3600,104785284,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-12,16.1300,16.6500,15.7500,15.8800,98533111,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-15,15.6000,15.7500,14.5700,15.2500,118099139,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-16,15.0000,15.5900,15.0000,15.3500,86040269,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-17,15.2800,16.4800,14.5800,16.2700,150901370,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-18,15.9800,16.2900,15.8500,15.9000,81423966,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-19,15.9200,16.2300,15.2000,15.2900,88728516,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-22,14.9000,15.6700,14.5000,15.2100,80270166,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-23,15.0600,15.3300,14.8500,15.0400,60233013,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-24,14.9000,15.6700,14.6200,15.4000,100115728,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-25,15.0200,15.5600,14.9000,14.9200,78835946,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-26,14.7300,15.1000,14.1700,14.2300,89878408,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-29,14.4100,14.5200,13.7500,13.9300,76946203,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2018-01-30,13.8200,14.0300,13.6500,13.8200,48022696,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
