time,open,high,low,close,volume,note
2026-01-05,9.9600,10.1200,9.8300,9.9900,29743547,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-06,9.9900,10.0400,9.7800,10.0200,24747603,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-07,9.9400,10.1000,9.8400,9.8900,43944735,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-08,9.8500,10.3000,9.8100,10.3000,35087599,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-09,10.3000,10.5600,10.2300,10.4600,30775737,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-12,10.3700,10.5100,10.3000,10.4500,23844300,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-13,10.4000,10.6500,10.3600,10.4000,19980087,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-14,10.4000,10.5100,10.1900,10.2000,24926671,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-15,10.2000,10.2700,10.1200,10.2200,18727363,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-16,10.3200,10.4700,10.0200,10.1100,30941695,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-19,10.0600,10.3500,9.9900,10.2800,22986419,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-20,10.3100,10.5500,10.2000,10.4300,23556922,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-21,10.4200,10.5300,10.2600,10.3300,20350717,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-22,10.3300,10.3800,10.1600,10.1800,16226405,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-23,10.2400,10.2500,9.9300,9.9800,22992419,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-26,9.9800,10.0100,9.8100,9.8500,31199400,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-27,9.8500,10.0300,9.7500,9.7800,23531617,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-28,9.7800,9.8500,9.5700,9.6200,47597157,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-29,9.6500,9.7100,9.5000,9.6700,34395383,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-01-30,9.6100,9.9500,9.6100,9.7100,24917260,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-02,9.7400,9.9400,9.6300,9.6300,26761180,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-03,9.6800,9.8200,9.6300,9.7800,17769837,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-04,9.7700,9.9200,9.7500,9.8000,18270735,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-05,9.8000,9.9100,9.7500,9.8900,15321163,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-06,9.9000,9.9500,9.7500,9.7500,14825244,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-09,9.8100,10.0000,9.7200,9.9100,18775678,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-10,9.9800,9.9900,9.8100,9.8500,14748181,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-11,9.8800,9.8800,9.7100,9.7500,11744516,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-12,9.7800,9.8000,9.5700,9.6400,11373749,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-13,9.6600,9.6600,9.5300,9.5500,10756697,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-24,9.5700,9.7200,9.4700,9.6800,20089748,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-25,9.7300,9.9000,9.6500,9.7100,27520608,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-26,9.6800,9.8300,9.6800,9.8200,13989226,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-02-27,9.8400,10.1300,9.7600,9.9400,21386639,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-02,9.9500,10.2800,9.8100,10.1500,29910929,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-03,10.1000,10.2400,10.0000,10.0700,26816478,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-04,10.0000,10.2200,9.8600,10.1400,26349683,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-05,10.1300,10.4700,10.1100,10.4400,25951929,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-06,10.4200,10.6300,10.3300,10.5800,25821012,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-09,10.5500,10.5800,9.9800,10.0100,34448543,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-10,10.1200,10.1900,9.8900,10.0100,24462907,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-11,9.9900,10.0500,9.9000,9.9200,13526336,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-12,9.9500,9.9800,9.7600,9.8700,14160331,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-13,9.8300,10.1900,9.8300,9.9500,19910741,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-16,9.9600,10.1200,9.8400,10.0500,23176295,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-03-17,10.0200,10.1200,9.8600,9.8600,16351547,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
