time,open,high,low,close,volume,note
2026-01-05,36.6800,36.7700,35.9600,36.3600,13070356,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-06,36.2900,37.1700,36.1800,37.0700,16551147,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-07,37.0600,37.1700,36.6200,36.8300,12045502,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-08,36.7000,38.2100,36.6700,38.1300,26090944,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-09,38.2200,38.8800,37.8100,38.1600,26354373,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-12,38.8800,39.1600,38.3300,39.0500,27570259,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-13,38.6100,38.7900,37.5500,37.6800,23143422,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-14,37.5900,37.9900,36.8800,37.1300,21005259,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-15,36.9600,37.4000,36.7800,37.2000,10920001,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-16,37.2300,37.3000,36.5500,36.6600,10884114,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-19,36.6400,38.1500,36.3800,37.8500,19381635,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-20,37.6400,38.9700,37.4000,37.6900,15069608,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-21,37.5800,38.0800,37.4800,37.7400,10031392,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-22,37.6900,38.9500,37.6000,38.7000,16728245,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-23,38.7000,38.7300,38.2100,38.3500,11622720,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-26,38.3300,38.4500,37.5400,37.7700,11845504,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-27,37.8000,38.6300,37.2500,38.5500,13478351,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-28,38.5000,38.6600,37.8900,38.0500,9161449,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-29,37.9600,38.2300,37.5700,37.6700,8640802,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-01-30,37.5400,37.8300,36.3000,36.6000,11110407,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-02,36.4700,36.8300,35.8200,35.8500,9854037,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-03,36.1200,37.2000,36.1000,36.9500,9972971,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-04,36.8200,38.6400,36.7700,37.9100,15094968,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-05,37.8800,38.3300,37.5600,37.6900,7841527,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-06,37.4500,37.7000,36.9000,36.9000,9689600,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-09,37.2400,37.3600,36.8900,37.1000,5853297,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-10,37.1500,37.9400,36.7200,37.5500,8916582,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-11,37.5500,38.0700,37.5400,37.6100,7684440,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-12,37.3900,37.8000,37.1300,37.5800,6011733,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-13,37.4400,38.3700,37.4100,37.9700,11572191,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-24,37.9900,38.7500,37.9800,38.5400,13678247,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-25,38.4500,38.7400,38.2500,38.3900,8031749,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-26,38.4700,39.2600,38.2700,39.0200,13787432,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-02-27,38.8900,39.0800,38.3800,38.7500,10037646,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-02,39.1700,39.3000,38.4000,38.9400,16523533,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-03,38.6900,38.7500,36.9500,37.0700,18206505,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-04,36.7200,37.7400,36.7200,37.5200,11606633,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-05,37.5100,37.8300,36.8600,37.0500,9852823,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-06,37.0700,38.4400,36.8800,37.8100,14602351,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-09,37.5000,37.8000,36.5000,36.8100,13773108,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-10,36.9600,37.9800,36.9600,37.3600,8407750,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-11,37.4700,37.4700,36.7600,36.8300,9331519,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-12,36.8300,36.8900,36.1500,36.2200,10488439,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-13,36.2200,36.2800,35.6800,35.7600,8484576,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-16,35.7900,35.8400,35.4200,35.6500,7447601,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-17,35.6600,35.7700,35.2000,35.2400,7106054,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-18,35.2100,35.3300,34.9000,35.2400,7310782,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-19,34.9700,35.0500,34.3600,34.4100,9997100,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-20,34.4400,34.5200,33.6600,33.7200,10068023,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-23,33.3300,33.3500,32.2000,32.2800,11037045,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-24,32.8000,33.1000,32.4200,33.0500,8039865,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-25,33.0000,33.5800,32.9800,33.5400,6541273,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-26,33.4500,33.5800,32.9400,33.2300,5580140,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-27,32.8300,33.4700,32.8100,33.3600,3814700,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-30,33.3600,34.5400,33.2800,34.2100,10355129,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-03-31,34.0200,34.4300,33.6100,33.7600,8065672,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-01,34.0500,34.2200,33.5800,33.8400,7717412,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-02,33.7400,33.9600,33.5000,33.6100,5326400,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-03,33.6500,33.6800,33.3300,33.4400,3922300,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-04-07,33.5000,33.5000,33.1800,33.3000,3727100,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
