time,open,high,low,close,volume,note
2026-01-05,7.9500,8.1300,7.8700,8.0800,89570323,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-06,8.0100,8.1800,7.7700,8.0900,64829995,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-07,8.1100,8.2800,8.0600,8.1500,44857494,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-08,8.1300,8.1500,7.9000,8.0100,62189142,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-09,7.9800,8.0000,7.8100,7.9700,49628574,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-12,7.9300,8.1400,7.8600,7.8800,66975135,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-13,7.8000,7.9400,7.7300,7.7800,63790851,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-14,7.7100,7.7800,7.5400,7.5600,96990634,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-15,7.5600,7.6600,7.4900,7.5400,53218659,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-16,7.6000,7.7300,7.3300,7.4300,79506812,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-19,7.4100,7.7700,7.4100,7.7500,93731111,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-20,7.8000,8.1700,7.7500,8.1300,93604771,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-21,8.1400,8.1700,7.9500,8.0100,68487906,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-22,8.0000,8.0900,7.8500,7.8800,70969313,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-23,7.8900,7.9100,7.6300,7.6800,58432832,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-26,7.6900,7.9800,7.5900,7.6000,135092788,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-27,7.6600,7.7100,7.5000,7.5500,75493493,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-28,7.5800,7.5900,7.2400,7.2800,104115161,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-29,7.2100,7.3200,7.1000,7.2000,107034347,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-01-30,7.2200,7.2900,7.1300,7.2100,61077959,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-02,7.2200,7.4900,7.1500,7.2600,92435262,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-03,7.3200,7.7000,7.2600,7.6500,101355278,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-04,7.6300,8.3300,7.6200,8.1800,166671048,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-05,8.1800,8.3600,8.1000,8.2500,111813136,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-06,8.2100,8.3100,8.1300,8.2200,66071576,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-09,8.1600,8.4600,8.1600,8.2900,78302981,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-10,8.3100,8.3300,7.9500,8.1200,90347819,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-11,8.1200,8.1600,7.8800,7.9400,107725750,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-12,7.9300,7.9900,7.7000,7.7600,81216285,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-13,7.7700,7.7900,7.5800,7.6000,46131014,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-24,7.6200,7.6500,7.4300,7.4600,81113777,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-25,7.4400,7.6300,7.3800,7.4800,130258867,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-26,7.5200,7.7300,7.5100,7.5900,81763894,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-02-27,7.6000,7.7400,7.2800,7.3400,99607027,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-02,6.9800,7.1200,6.8500,7.0000,182594973,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-03,6.9500,7.0100,6.6900,6.7800,124883475,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-04,6.7200,6.9000,6.6300,6.6600,100803221,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-05,6.7100,6.7500,6.5200,6.5600,81174349,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-06,6.5700,6.6700,6.4400,6.6300,89566963,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-09,6.3600,6.3600,6.0800,6.3200,212009819,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-10,6.5500,6.6900,6.4200,6.4700,170143272,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-11,6.5300,6.5300,6.2800,6.3600,129264682,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-12,6.2800,6.3800,6.2300,6.3200,101982787,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-13,6.2700,6.3900,6.2100,6.2900,119193778,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-16,6.2800,6.3300,6.1100,6.1700,152240675,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-17,6.1900,6.3600,6.1400,6.1500,128430081,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-18,6.2200,6.2500,6.0200,6.0900,124595149,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-19,5.9500,5.9700,5.7900,5.8100,161431982,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-20,5.8800,5.9100,5.7500,5.7700,107459463,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
2026-03-23,5.6500,5.6600,5.3800,5.4600,181423820,sh.600029 | 南方航空 | baostock | adjustflag=3 raw
