time,open,high,low,close,volume,note
2018-01-02,65.2800,66.5500,64.9600,65.8500,12714077,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-03,64.9800,67.1000,64.4000,66.1200,15190950,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-04,66.0000,66.3600,64.9100,65.0500,11841697,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-05,64.9000,65.2000,63.8300,64.3800,10487000,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-08,64.6000,66.3400,64.5300,65.2100,13674015,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-09,65.2000,66.1800,64.7000,65.4200,9430926,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-10,65.6000,65.9700,64.8800,65.6700,9426504,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-11,65.9800,65.9800,64.8800,65.4000,7629868,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-12,65.6600,67.8500,65.6200,67.0800,19597880,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-15,67.2500,68.1000,64.8800,65.1400,15189034,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-16,64.5000,65.7500,64.4600,64.8000,9591973,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-17,64.6800,64.6800,62.5100,63.7500,11652506,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-18,64.1800,64.5800,62.8800,63.1700,7370145,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-19,63.6000,63.6300,62.6800,63.2000,5237008,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-22,63.6800,67.0100,63.6200,66.6000,17265708,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2018-01-23,66.6400,67.3700,66.0600,66.8100,12351848,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
