time,open,high,low,close,volume,note
2018-01-02,41.5000,42.5200,40.6600,42.4800,10205238,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-03,42.2800,43.2500,40.5000,41.4500,10367506,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-04,41.6000,45.6000,41.2100,45.6000,17208834,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-05,45.9700,45.9700,43.7300,43.9000,15953203,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-08,43.7000,45.2000,42.4000,44.9100,13128022,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-09,44.4800,44.8000,42.7000,43.7200,9833097,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-10,43.0100,44.4100,41.9300,43.4000,9162631,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-11,42.0000,44.5000,41.9000,42.9300,9240369,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-12,42.6000,44.4500,42.2500,43.2100,10355877,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-15,41.8100,42.1100,38.8900,39.4400,12254587,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-16,38.5100,40.1400,38.5000,39.5700,7126401,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-17,39.5000,41.8700,38.2000,40.7800,9204742,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-18,40.1000,40.6500,39.3000,39.3800,5930744,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-19,39.7600,39.9700,38.3800,38.6000,5571187,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-22,38.3000,38.3000,35.0100,36.9600,5836623,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-23,36.9900,38.1300,36.9900,37.8100,4379600,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-24,37.5500,39.7800,36.5300,38.7800,6823629,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-25,38.0000,39.2000,37.3300,37.5600,5023487,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-26,37.0200,37.9700,36.0400,36.2800,4517705,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-29,37.0000,37.0800,35.4000,35.9000,3258100,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-30,35.8700,36.2000,35.4000,35.5200,2557633,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-01-31,34.8900,35.0000,32.0200,32.4500,5385057,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-01,32.1800,33.0000,31.5100,32.5100,4280662,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-02,32.0000,32.5700,30.5200,30.6800,4081836,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-05,28.6600,30.2900,28.6000,28.8600,3890900,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-06,27.9800,28.5000,26.0100,26.4600,5068100,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-07,27.3500,28.8600,26.0300,27.9600,5517415,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-08,27.8800,30.7600,27.4900,30.7600,7984232,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-09,29.1800,32.1900,29.1800,30.7100,8552815,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-12,30.6600,32.5000,30.6200,31.7000,6033129,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-13,31.5300,31.6000,30.4000,30.4700,4614918,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-14,30.1700,30.9900,29.7000,29.7500,2561532,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-22,30.2000,32.5300,30.0000,31.7800,4323271,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-23,31.7000,32.2000,30.8800,31.8200,4122378,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-26,31.9700,34.6000,31.9700,34.3100,6758323,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-27,34.0000,35.4600,33.6000,34.5000,7472180,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-02-28,33.4500,35.2100,33.3400,33.8600,4462728,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-01,33.8500,35.8000,33.5000,34.9600,5763396,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-02,34.4500,35.4700,33.8900,33.9100,4422895,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-05,33.9400,35.6700,33.9400,35.4700,5063736,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-06,35.5500,37.1000,34.8300,35.9900,5705386,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-07,35.5000,37.3600,35.4900,36.6100,4968536,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-08,36.3000,36.9700,35.7000,36.3200,3692700,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-09,36.3500,39.8500,36.0700,38.4600,8745802,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-12,38.2100,41.0000,38.2000,40.0600,7037925,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-13,39.6600,40.6000,39.0100,39.3100,4462565,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-14,38.7200,40.3000,38.7200,38.9100,4485364,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-15,38.6500,39.5300,35.5200,37.2600,6130625,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-16,37.7100,38.3300,36.2000,36.5300,3972257,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-19,36.3200,38.3000,36.3200,37.4000,4269095,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-20,37.2600,38.1100,37.0100,37.8700,2987000,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-21,37.9700,38.5600,37.0800,37.2300,3722569,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-22,37.0000,39.3000,37.0000,39.0600,4308408,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-23,37.8000,41.8000,37.2000,40.0500,11922067,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-26,40.7500,42.9600,40.7500,42.4300,13037206,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-27,41.1800,44.0000,40.3000,43.3300,12378201,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-28,41.8800,42.4300,39.8600,39.9400,8750546,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-29,40.3400,40.5300,38.2500,39.3100,5500988,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-03-30,39.7300,41.1800,39.5000,41.0100,7037711,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-02,41.2000,41.7500,40.0000,40.4800,9055947,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-03,39.1000,39.7500,37.9000,38.8400,6952095,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-04,39.5000,40.5900,38.4000,39.3100,4831660,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-09,39.2000,39.5800,37.5000,38.3400,3589287,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-10,38.1200,40.6600,38.1200,40.3000,6321644,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-11,40.8000,40.8000,39.3600,39.5700,3876595,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-12,39.7000,40.7600,39.4500,40.0400,3801786,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-13,40.4000,40.4800,39.0000,39.6000,3137108,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-16,39.0000,39.7600,38.4500,39.1100,2528500,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-17,39.9100,40.8900,38.6000,39.6500,4462772,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-18,40.5200,43.2800,39.9000,42.3700,11163333,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-19,41.0800,42.3300,40.5100,40.5300,7368726,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-20,40.0000,41.4400,39.4000,40.0200,5358569,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2018-04-23,39.9800,39.9800,36.0200,36.8900,6409680,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
