time,open,high,low,close,volume,note
2020-07-16,95.0000,95.0000,80.0000,82.9200,552103904,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-17,79.0000,84.9000,75.0000,77.0600,219471588,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-20,77.1900,80.5100,70.0200,79.1700,228583338,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-21,78.3000,82.8900,77.7700,78.6300,161873271,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-22,77.8000,81.7800,77.2000,79.5700,133942790,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-23,78.0100,79.7200,75.8500,78.7800,122936978,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-24,77.5000,78.1200,71.5200,71.9500,130167775,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-27,72.6700,73.8100,70.0200,70.8200,79110560,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-28,72.8200,75.1600,72.0300,72.5600,81040594,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-29,71.9000,75.2000,71.6000,75.0700,86885769,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-30,75.2700,76.3900,73.2000,75.6900,99426582,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-07-31,74.9000,84.9900,74.8100,82.2100,157250773,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-03,85.4000,87.8800,83.7700,84.0000,143326060,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-04,84.3000,84.4900,80.2000,81.0800,85506277,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-05,87.0000,87.0000,82.5800,83.0000,117241744,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-06,82.0000,85.8800,81.1100,84.8200,101203606,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-07,83.3000,83.3000,78.9200,80.4700,111827466,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-10,78.3200,79.6500,76.8600,77.8900,72305415,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-11,77.8000,78.8000,76.3300,76.4000,54464774,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-12,76.3300,76.9200,73.7800,75.2300,55411063,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-13,75.8100,76.6600,74.8600,75.1800,37866175,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-14,75.0000,75.7700,74.4500,75.5500,29991872,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-17,75.0000,76.4500,74.0000,76.0200,57134597,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-18,76.1800,76.1800,74.0900,74.2800,60551664,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-19,74.0000,74.0000,71.7700,71.8400,60965290,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-20,71.2000,73.0900,70.8600,72.1000,34310825,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-21,72.7100,72.9300,71.5000,71.8700,25500160,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-24,72.0000,72.8500,70.7200,72.0000,35638295,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-25,72.2900,72.8000,70.8000,70.8200,35148130,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-26,70.6900,71.4500,65.5100,66.2600,83703605,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-27,65.8900,68.6000,63.8900,67.2300,62941100,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-28,67.8000,68.1900,66.2100,66.7800,41341674,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-08-31,66.9000,67.8000,66.6700,66.6800,32562958,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-01,66.3000,66.4700,65.0100,65.3500,32409415,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-02,65.5000,65.5400,64.0200,64.1700,36939259,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-03,64.1900,65.4800,63.0300,65.0800,55435101,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-04,63.9000,67.5400,63.5100,66.2800,53480701,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-07,61.4000,62.2000,58.6600,58.8000,127586361,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-08,58.2000,58.8000,57.2800,57.5500,51181985,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-09,56.6000,56.8200,54.1100,54.1100,66199104,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-10,54.8000,55.4000,52.7600,52.7800,39040435,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-11,52.7800,55.4900,52.6600,55.2300,43402279,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-14,55.6100,56.2500,54.8000,54.8800,34682972,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-15,54.9900,56.9800,53.7100,56.3900,48988229,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-16,55.6800,58.2800,55.5100,56.7000,49714810,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-17,56.0800,58.5800,55.8000,57.7000,49818044,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-18,57.4000,58.2000,56.8300,57.6900,33808410,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-21,58.0600,58.4000,56.4100,56.4600,28390760,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-22,56.0000,57.3400,55.6200,55.8600,21731349,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-23,56.2500,56.8800,55.8200,56.2200,21777556,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-24,55.7000,56.2900,54.5000,54.5000,23323538,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-25,54.8000,54.8700,53.6600,53.7000,19848386,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-28,51.5000,51.5100,49.9000,49.9400,55601045,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-29,50.1800,50.6500,49.4500,50.0900,28884698,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-09-30,50.2500,50.5000,49.5000,49.6500,23154695,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-09,51.0000,51.3800,50.5000,50.9400,30276467,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-12,51.4000,58.1700,51.1800,57.4100,83625045,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-13,56.6000,57.7400,55.9300,57.2900,44569009,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-14,57.3000,57.4500,55.7700,55.9600,28884319,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-15,56.2000,59.8600,56.2000,57.3000,56542140,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-16,59.5000,59.8600,57.7000,58.2100,38030820,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-19,58.4900,61.1000,57.7600,60.2800,59006912,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-20,59.7000,59.9800,58.4000,59.5000,35066961,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-21,59.6900,59.8000,56.9200,57.6500,35138418,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-22,57.2000,58.8000,56.3800,57.6700,28826455,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-23,57.6000,58.1800,57.1300,57.2200,24757287,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-26,56.8900,58.8000,56.2600,58.4500,32235587,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-27,58.0000,59.0200,57.5000,58.7000,29064923,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-28,58.5500,59.5900,57.8100,59.3300,33059553,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2020-10-29,58.5500,61.3200,58.4000,60.8800,48129787,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
