time,open,high,low,close,volume,note
2026-01-05,32.8900,33.7500,32.4000,33.5400,23548021,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-06,33.8500,34.4900,33.1000,33.4000,23280523,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-07,33.4000,33.4000,32.5000,32.7800,17579493,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-08,32.6600,32.6900,32.2500,32.4900,11155131,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-09,32.4500,32.6200,32.1000,32.4700,12629041,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-12,32.3500,32.4000,31.3000,31.6100,24861850,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-13,31.7100,32.0600,31.5600,31.6800,19551809,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-14,31.6800,31.7600,31.0400,31.5000,21260979,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-15,31.4000,31.7400,31.2600,31.3600,14497164,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-16,31.6500,32.4400,31.4100,31.7100,19315045,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-19,31.5600,32.4000,31.5000,31.9900,16224110,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-20,32.0100,32.2800,31.7900,32.2100,13247897,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-21,32.1500,32.2200,31.6300,31.8900,13714100,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-22,31.8700,31.8700,30.7000,30.7700,19996532,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-23,30.8200,31.3000,30.5000,30.9300,24543445,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-01-26,31.2900,31.4600,30.7000,31.2600,23636767,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
