time,open,high,low,close,volume,note
2018-01-02,39.0000,41.4400,38.8000,41.2100,7733867,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-03,41.2900,41.3700,40.0000,40.3300,8081063,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-04,40.3300,40.6800,40.0600,40.4000,6477755,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-05,40.2000,40.2000,39.4400,39.5000,6221881,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-08,39.7000,40.5600,39.1400,39.3800,7392493,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-09,39.1600,39.9700,38.3300,38.5500,8420595,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-10,38.6200,38.8300,37.4000,38.1000,9793821,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-11,38.0700,38.2900,37.2000,37.9900,6084001,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-12,37.9600,38.1400,37.5100,38.0000,3666029,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-15,38.0000,38.0600,35.9000,36.2200,10156010,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-16,36.2200,36.8000,36.0000,36.4700,8970590,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-17,36.4500,37.8000,35.7000,37.2100,7475254,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-18,37.1700,37.3000,36.3600,36.4800,4262633,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-19,36.8000,37.5900,36.5000,36.8500,5769807,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-22,36.8500,37.2900,35.8800,36.9900,6718628,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-23,36.9700,37.6200,36.5100,37.3800,4254579,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-24,37.2700,38.0900,37.1200,37.9000,5183912,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-25,37.9200,38.2000,37.5200,37.5800,6577651,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-26,37.8000,38.2700,37.6100,37.7800,3707811,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-29,37.4500,38.3400,37.3000,38.0000,5246711,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-30,38.0000,38.3600,37.9300,38.0200,2657263,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-01-31,37.7000,37.9500,36.0000,36.6300,5236247,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-01,36.5600,36.9300,34.6000,34.7200,7620283,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-02,35.0000,35.8000,33.6300,34.4500,6658695,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-05,34.1000,34.8100,33.8000,34.3600,2748038,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-06,34.2000,34.2000,31.4000,33.9900,8202750,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-07,34.5000,35.1000,33.0400,33.9000,4513058,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-08,33.7000,35.1000,33.5000,34.7600,5344041,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-09,33.5000,35.8300,33.2200,33.5400,5996856,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-12,33.8600,34.6700,33.0300,34.3000,4449941,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-13,34.3800,35.1500,34.0300,34.3200,3401513,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-14,34.3400,34.8000,34.0700,34.4100,1865547,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-22,35.0000,35.4700,34.4500,35.2700,3933216,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-23,35.2700,35.6300,34.5500,34.9200,3601233,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-26,35.3000,37.4300,35.2000,37.0400,7703066,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-27,37.3500,38.6500,37.0500,37.9900,9121588,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-02-28,37.6000,38.2700,36.7500,37.3700,7830522,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-01,37.0500,37.9100,36.8000,37.4300,4516226,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-02,37.5900,38.5000,36.8100,36.9700,5715893,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-05,37.1000,38.2500,37.1000,37.8800,8814102,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-06,37.9000,39.4900,37.9000,39.4700,9057334,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-07,39.1400,39.8000,38.6400,39.1300,5556037,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-08,39.0500,39.6400,38.5300,39.4800,4730792,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-09,39.3800,40.2000,38.9100,39.8700,5294917,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-12,39.9200,40.2000,39.0000,39.7500,5420177,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-03-13,39.6000,39.6000,38.7300,38.8500,3503969,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
