time,open,high,low,close,volume,note
2021-09-07,55.1100,62.7600,54.6200,57.5000,102426685,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-08,57.6000,58.2700,51.8100,52.0000,51808252,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-09,52.8000,54.4600,50.3300,53.1900,30984535,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-10,52.8000,53.4200,49.8000,51.5400,28973525,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-13,51.2000,53.2100,50.2500,51.5000,17505252,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-14,50.8400,53.7700,50.5100,52.6100,19551300,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-15,52.3000,53.0800,49.9000,50.4800,14807092,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-16,50.6000,50.6000,47.3800,47.4800,13717154,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-17,47.4700,48.7400,45.9000,47.1800,12499550,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-22,46.2900,49.8000,46.1900,48.0600,11311923,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-23,48.1300,51.8800,47.7700,50.3900,15728041,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-24,50.9900,51.4400,49.5200,49.8000,7088350,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-27,50.8000,51.0000,47.7200,49.9500,9122127,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-28,49.7400,50.9000,48.8800,49.3000,7015672,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-29,48.1500,49.5800,46.5000,47.5200,8332140,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-09-30,47.4800,51.6000,47.3000,50.7000,8801169,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-08,51.0000,51.5000,48.9900,49.0000,5691264,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-11,49.4100,49.4100,47.1000,47.3100,7019567,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-12,47.0100,47.3200,44.9600,46.0000,8651714,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-13,46.0200,48.2800,46.0200,47.8800,4565583,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-14,48.0000,49.4700,46.9100,48.0300,4563686,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-15,48.6000,54.8900,48.5900,52.0100,21777337,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-18,53.2500,54.7900,52.5100,54.1300,20192764,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-19,53.6600,55.3500,53.0000,54.6500,10960256,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-20,54.3100,55.5000,54.0100,54.5100,9869861,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-21,54.2200,55.2000,51.9400,52.7800,9563741,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-22,52.7400,55.2800,51.8800,55.0000,8345375,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-25,54.8000,58.2300,54.0300,57.5000,9609147,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-26,57.2000,58.7500,54.3200,54.3200,8917299,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-27,55.2800,55.4300,52.8000,54.2700,5954288,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-28,53.6100,54.5000,52.0100,52.0900,5380376,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-10-29,51.7900,54.1400,51.7900,53.8400,5094284,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-01,54.3000,61.9800,54.2100,60.8000,16086346,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-02,60.0300,65.8600,60.0300,63.5700,16426494,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-03,64.2300,66.1700,63.1800,64.9300,9590280,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-04,65.0800,66.6000,63.7400,65.4000,7268191,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-05,66.6500,69.6000,65.1700,65.3800,9648849,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-08,66.0100,69.8600,65.8000,68.5300,7199693,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-09,68.1500,68.2200,64.6800,67.0900,4575234,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-10,66.0200,68.7800,65.3000,67.4000,4750641,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-11,67.0000,71.4800,66.3000,69.9600,8475256,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-12,69.2600,70.5700,66.6800,67.6100,5405555,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-15,67.7700,69.6000,65.6600,66.9700,4167656,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-16,66.6300,68.3300,64.0200,65.4000,5009885,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-17,65.6400,72.5000,65.4000,71.5800,7592389,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-18,71.4400,75.4900,70.3900,72.7000,7912563,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-19,72.3000,73.9000,70.8800,72.3500,3268019,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-22,73.5700,86.8200,73.5700,86.8200,13401701,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-23,87.8500,92.6000,86.4000,88.0000,13480780,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-24,86.9000,89.9900,84.0000,85.8000,8729572,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-25,84.9600,85.5700,80.7000,84.5000,8828076,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-26,85.3200,89.0100,85.0800,85.8000,7041213,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-29,85.8000,89.3700,83.3300,87.0900,5557862,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-11-30,88.0000,89.7400,85.8100,88.0600,5500382,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-01,87.5000,89.0000,82.9000,84.7400,5687328,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-02,85.6600,87.3000,81.7600,84.2100,5759133,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-03,83.5000,86.6000,82.4000,83.0000,5139944,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-06,82.9900,85.5000,78.0200,78.6900,7876995,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-07,78.6900,80.0700,72.6800,75.9000,10105453,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-08,76.0600,78.6300,75.7000,77.8300,5518749,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-09,79.5500,82.1500,76.4100,78.1500,7752578,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-10,77.0800,81.6600,76.4000,79.8800,5345105,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-13,79.8800,82.4800,78.0600,80.6200,3627586,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-14,80.0100,80.8800,77.3600,79.8100,4087631,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-15,79.0000,81.5500,77.9900,80.2200,4408475,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-16,80.5000,82.3100,78.0300,78.4300,4017189,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-17,78.7100,78.8000,74.0000,77.1600,5798815,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-20,77.5000,78.0000,74.0000,75.2800,4013325,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-21,74.3400,82.9800,74.1600,82.1900,6712469,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-22,82.1800,82.9000,78.6400,78.9600,4147252,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-23,78.7100,83.9300,77.0000,82.5500,6366219,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-24,81.8000,84.8800,79.8500,80.0300,4940783,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-27,79.7000,83.9900,79.7000,82.2400,5050432,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-28,82.7400,83.3700,79.9700,80.4000,4032925,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-29,79.9200,82.4600,78.4000,79.6000,2947453,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-30,79.8400,81.8100,78.2100,80.4600,4268051,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2021-12-31,79.8100,83.5500,79.8100,82.0000,5001828,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-04,82.7700,83.5000,71.2900,74.5000,10024388,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-05,72.2100,74.8900,67.9600,68.8000,8930465,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-06,68.8000,70.2000,66.3300,68.5000,6058134,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-07,68.5000,68.7700,64.6400,66.6200,5680696,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-10,66.3400,68.3000,65.6700,67.2300,3947116,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-11,66.5000,67.8500,61.8900,62.6300,7622540,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-12,63.8200,66.5000,62.5900,65.6000,8737620,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-13,65.8000,67.3500,64.1300,65.1800,5270352,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-14,64.5700,72.0900,64.5000,69.9800,8251662,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-17,70.7300,74.0000,69.3800,72.2800,7677260,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-18,71.3300,73.8000,69.0000,71.2900,3945330,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
2022-01-19,70.6400,71.2800,68.5000,69.5600,2709025,sh.688187 | 时代电气 | baostock | adjustflag=3 raw
