time,open,high,low,close,volume,note
2018-06-11,30.1700,36.2000,30.1700,36.2000,78829,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-12,39.8200,39.8200,39.8200,39.8200,26579,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-13,43.8000,43.8000,43.8000,43.8000,45030,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-14,48.1800,48.1800,48.1800,48.1800,74267,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-15,53.0000,53.0000,53.0000,53.0000,256510,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-19,58.3000,58.3000,58.3000,58.3000,1117428,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-20,64.1300,64.1300,64.1300,64.1300,1310382,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-21,70.5400,70.5400,70.5400,70.5400,1231660,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-22,72.0000,72.7100,63.4900,66.5500,128170599,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-25,68.2000,71.6000,67.2200,69.1900,69981999,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-26,67.8900,75.5500,67.1000,74.1800,62553547,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-27,74.2100,74.9300,71.7700,74.0900,44138862,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-28,73.3000,75.3900,67.4400,68.2100,53080981,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-06-29,68.6800,74.3000,67.7700,71.9600,45698575,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-02,70.7900,71.4800,69.1100,70.0000,32470182,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-03,70.2000,71.1900,65.8500,69.2900,33910064,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-04,68.1500,68.1500,65.5000,65.9200,26282197,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-05,65.0000,71.8800,64.8800,68.8100,34337783,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-06,68.8100,74.5000,68.7000,70.8800,49213427,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-09,70.8000,71.5700,69.1100,71.5500,31068979,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-10,75.0000,75.8900,71.6600,72.4000,36484401,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-11,70.0000,78.9400,69.5800,77.0600,49120805,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-12,76.0300,84.7700,75.6000,84.7700,43085212,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-13,82.0000,88.4700,81.0300,82.7000,48202055,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-16,82.7000,84.7500,80.1000,83.9000,29515196,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-17,83.1100,84.1700,79.6600,82.2800,28615349,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-18,82.2800,84.3700,80.1100,82.2800,27113839,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-19,82.0000,85.1500,80.6700,82.8900,25074483,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-20,82.5000,91.1800,82.0100,90.9300,42695635,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-23,89.0000,90.5400,87.5500,88.6200,25014352,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-24,88.5000,92.9600,87.5000,91.7700,26501025,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-25,91.0000,95.0800,82.5900,82.5900,45719348,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-26,80.5000,82.6000,76.6000,78.2000,39286999,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-27,78.0000,78.6400,75.6700,76.0500,22809584,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-30,76.5000,77.3400,75.0000,76.8500,18041846,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-07-31,76.7800,76.7900,70.5100,72.2200,28128307,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-01,72.0000,73.6300,71.0200,71.4200,17933649,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-02,70.4000,73.2900,70.0500,72.5600,19853529,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-03,71.7600,73.1400,68.6600,69.6000,17288867,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-06,69.0000,71.0800,67.6000,69.6500,15706945,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-07,70.4800,74.4600,70.0000,73.7900,19964947,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-08,73.5000,73.5800,71.1100,71.5200,14770817,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-09,71.4000,75.6600,70.3000,74.0600,18474864,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-10,73.6000,74.4900,73.0200,74.4400,11673860,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-13,73.0000,74.1900,72.0300,74.0100,10949557,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-14,73.8000,73.8900,71.4400,71.5700,11735618,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-15,70.9800,72.0300,69.0000,69.1100,12916705,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-16,68.0000,69.8800,66.2100,68.9900,10715293,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-17,69.9000,70.5100,68.1000,68.1600,8224837,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-20,67.8800,69.1100,66.0000,68.9500,10922929,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-21,68.9700,70.7800,68.0200,69.5700,10208839,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-22,69.0600,70.2500,67.2100,67.4700,8999917,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-23,67.6500,69.6500,67.0800,69.1000,12193136,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-24,67.8100,71.2000,67.7000,68.8000,13360932,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-27,68.5800,70.9800,67.8900,70.4600,12915092,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-28,70.6100,74.3200,70.4000,73.0100,18813962,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-29,72.6000,73.5000,71.8100,73.0200,10333837,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-30,73.1900,74.0000,69.6300,69.9900,13681809,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-08-31,68.4900,69.2000,65.0100,65.5000,15901213,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-03,64.8000,64.8000,61.0000,63.2600,15910805,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-04,63.2000,64.2500,62.7600,63.8500,8067558,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-05,63.6000,63.9800,61.3900,61.3900,9689281,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-06,60.6000,62.6500,60.3200,61.8400,8854073,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-07,62.4900,64.8800,62.2100,63.3200,12748586,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-10,63.5600,63.7900,61.0000,61.3500,6545100,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-11,61.4000,63.1600,61.4000,62.5700,6629327,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-12,62.8000,65.2500,62.6100,64.5000,12115986,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-13,65.6400,66.1000,63.3900,64.8000,9852036,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-14,66.3000,69.0000,65.8600,65.9000,15831828,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-17,64.5700,65.4800,63.5900,63.7100,7131416,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-18,63.0000,66.4100,62.9900,66.3600,7789233,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-19,65.9900,68.5600,65.4500,67.3300,9502594,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-20,67.0100,69.9000,67.0100,67.9900,10200717,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-21,68.6300,69.9000,67.8600,69.1900,7748207,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-25,68.4000,69.3000,67.7100,68.3300,4204191,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-26,68.6600,73.5000,68.6600,72.8900,16061574,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-27,72.2500,74.9500,71.7000,72.5500,13694667,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-09-28,72.1100,75.0900,72.1100,73.0000,11921098,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-08,71.8800,71.8800,67.8000,68.4500,13116724,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-09,68.9100,69.1600,64.1000,64.9000,13389377,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-10,65.6100,65.8000,63.6000,64.9000,7163213,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-11,61.8800,63.4700,59.5100,60.4500,12809465,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-12,60.4500,63.1600,60.3800,62.8600,8600315,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-15,68.8000,69.1500,67.8800,69.1500,19801487,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-16,70.0000,70.3600,67.9400,68.8500,10452197,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-17,69.7700,71.7800,69.2100,70.0000,14232165,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2018-10-18,68.7000,71.4000,65.5200,68.0300,10810902,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
