time,open,high,low,close,volume,note
2018-01-02,28.9900,29.8700,28.9500,29.5600,9840927,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-03,29.4500,29.5600,29.1200,29.4100,6995630,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-04,29.2900,29.2900,28.4900,28.8600,8658524,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-05,28.9000,28.9000,28.1200,28.3000,7094311,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-08,28.2500,28.4900,27.5500,27.7900,8864740,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-09,27.7000,27.7900,27.1600,27.7300,11376190,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-10,27.8200,27.8700,27.2300,27.5000,7521776,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-11,27.4900,27.4900,26.7000,26.9300,9670495,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-12,26.9700,27.1500,26.6800,27.0100,5582817,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-15,27.0200,27.4500,26.3500,26.3600,9184581,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-16,26.5800,26.9000,26.3500,26.6100,7499754,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-17,26.6100,26.8400,25.7700,26.3100,11322281,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-18,26.2500,27.0200,26.1400,26.9400,8034844,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-19,27.0500,27.4800,26.8400,26.9800,6122534,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-22,27.0200,27.4100,26.6000,27.0000,9025066,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-23,26.8900,27.9300,26.7700,27.6000,16104486,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-24,27.6000,29.0000,27.5100,28.7500,23806592,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-25,28.3800,29.1800,28.2100,28.2100,11754449,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-26,28.2100,28.5900,28.0000,28.3500,7339299,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-29,28.3000,29.0000,27.7700,28.9500,12987484,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-30,28.8700,29.2200,28.1300,28.5100,6647837,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-01-31,28.5500,28.7800,27.5600,28.0800,8153170,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-01,28.4500,28.8500,27.4600,27.5000,8403986,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-02,27.3600,28.5700,27.1600,28.4000,6697919,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-05,28.0400,29.0000,28.0100,28.8800,8588318,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-06,28.4700,28.7900,27.8100,28.0500,7797555,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-07,28.5600,28.7500,27.2000,27.2100,7128485,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-08,27.2100,28.4300,27.0100,27.6800,11711020,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-09,26.9600,27.7600,25.7400,26.4000,9631001,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-12,26.5200,28.3000,26.5100,28.1800,8575463,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-13,28.4100,29.4000,28.4100,29.1800,12622660,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-14,29.2300,29.6500,28.8400,29.4000,9486192,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-22,29.5100,29.6400,29.0300,29.4000,6783727,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-23,29.3000,29.4000,28.6400,29.1800,7161763,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-26,29.3000,30.4700,28.7900,30.4400,16124539,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-27,30.3000,31.8200,30.3000,31.0000,23773445,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-02-28,30.8000,32.6500,30.6900,31.5300,17441998,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-01,31.5600,32.1800,31.2500,31.8300,10135599,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-02,31.4600,33.1800,31.4600,31.8400,16130147,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-05,32.2600,32.4000,31.2600,32.1500,10445581,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-06,31.9600,32.3000,31.7600,32.0000,7705682,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-07,31.8100,31.9000,31.1100,31.4800,8057002,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-08,31.7000,32.0900,30.8800,31.6000,6657541,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-09,31.5500,33.3500,31.3000,33.1300,16595700,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-12,33.3200,35.2100,33.3200,34.6400,21164513,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-13,34.4100,34.7200,33.7300,34.2500,9601170,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-14,34.0000,34.0600,33.4400,33.5500,9316520,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-15,33.3500,34.4800,33.1000,34.3600,9999040,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-16,34.3400,34.8000,33.3000,33.3200,11584256,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-19,33.3400,34.3800,32.6000,33.7800,10835484,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-20,33.3000,35.9000,33.2000,35.7200,17389511,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-21,35.2900,35.6800,34.3500,34.5400,12296686,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-22,34.5300,35.0600,33.9500,34.1900,10790259,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-23,32.0600,33.7500,32.0600,32.2100,18416313,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-26,32.0000,34.2200,31.5700,33.6900,17542748,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-27,34.0000,35.1100,33.9100,34.2500,12411636,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-28,33.8000,34.7700,32.5100,32.8900,16065835,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-29,33.0500,34.1900,32.8200,33.6000,11506492,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-03-30,33.5900,35.3600,33.5900,35.3600,16026063,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-02,35.2200,36.3500,34.7200,35.6400,16080090,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-03,34.9800,36.4900,34.5200,34.9400,17936947,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-04,35.2000,35.3400,34.1300,34.3400,9504164,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-09,34.0100,34.5800,33.0200,33.0200,11042769,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-10,33.1000,33.3200,31.1700,31.9800,24776068,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-11,32.1100,32.7000,31.6200,32.0000,16143576,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-12,32.0100,32.3900,31.8200,31.9200,6347462,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-13,32.0300,33.0500,32.0300,32.5700,11027285,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-16,32.3200,33.3000,32.3000,32.9800,9122943,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-17,33.0000,33.5000,31.2900,31.4000,12361755,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-18,31.5000,32.2800,31.2000,31.8400,12738582,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-19,31.7000,32.0700,31.2500,31.4000,9171199,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-20,31.4000,31.9000,30.9100,31.0100,7350974,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-23,31.0000,31.7200,30.9100,31.2300,7279811,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-24,31.5000,32.6000,31.1400,32.6000,10558415,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-25,32.4600,33.5000,32.0700,33.0200,11770107,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-26,33.0200,33.2700,32.3600,32.9000,10162050,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-04-27,33.0300,33.2800,32.2000,32.8200,6844387,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-02,33.2600,33.6800,32.8100,33.2500,8608329,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-03,33.0000,33.7300,32.3800,33.4500,7985092,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-04,33.1500,33.3800,32.0800,32.1000,9565786,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-07,32.1100,33.5800,32.1100,33.5600,10977038,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-08,33.5500,34.2700,33.3800,33.8300,8630696,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-09,33.7900,33.9800,33.4000,33.7700,4158099,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-10,33.6800,33.9000,33.2000,33.5200,5190642,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-11,33.8000,34.4900,33.5800,33.6200,8048678,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-14,33.7500,34.9600,33.7400,34.8300,11140430,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-15,34.5400,34.8000,33.5300,33.8900,16705055,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-16,33.9900,34.0400,32.8000,32.9400,12304892,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-17,32.8500,33.4800,32.3000,32.7900,7133459,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-18,32.7000,33.0600,31.5500,32.4000,11711113,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-21,32.5100,33.3000,32.5000,32.8900,9775924,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-22,33.0000,33.0600,32.0100,32.3100,7508794,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-23,32.4000,32.4000,31.6100,31.7300,8944398,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-24,32.0000,32.0000,31.4000,31.6500,7513151,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-25,31.5000,31.9400,31.4800,31.6300,5968166,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-28,31.5600,32.4000,31.5100,32.2800,6298023,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-29,32.1600,32.8000,32.0200,32.0900,6920009,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-30,31.7800,32.9200,31.4600,32.3000,9649992,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-05-31,32.6200,32.8000,31.7600,32.6800,9435969,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-01,32.4100,32.8700,31.7300,31.8300,6847728,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-04,32.0700,32.6900,31.8500,32.5500,8128770,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-05,32.7000,32.8000,32.1600,32.6800,5356204,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-06,32.4200,32.5900,31.8600,32.3300,6210035,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-07,32.5600,33.6000,32.3500,33.2700,10469265,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-08,33.5600,33.5600,32.8100,33.0400,6901951,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-11,33.0400,33.3900,32.1000,32.2100,9024972,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-12,32.1800,33.1000,32.1800,33.0500,6711735,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-13,33.2600,33.6600,32.8800,33.0000,6233906,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-14,33.0000,33.8300,32.9500,33.2100,7148245,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-15,33.3800,33.8000,32.4200,32.7000,8639250,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-19,32.2500,32.8800,31.7500,31.8300,14182998,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-20,31.8300,33.6100,31.8300,33.2000,11016922,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-21,33.2400,33.6000,32.8100,32.9300,7897268,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-22,32.6700,33.8500,32.2000,33.7100,10378055,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-25,33.9700,34.1500,32.9000,33.0600,9797734,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-26,32.5300,34.0000,32.3200,33.6500,9962801,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-27,33.6400,33.9600,32.8900,33.1100,7810292,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-28,32.9000,33.5900,31.8900,32.3000,8180944,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-06-29,32.3800,32.9200,31.5700,32.8200,10897510,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-02,32.8100,32.8100,31.2500,31.6000,10545382,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-03,31.5000,31.6900,30.2600,31.3000,14899322,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-04,31.2500,31.5400,30.5300,30.7900,9196117,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-05,30.7900,31.0600,30.3000,30.5200,6627165,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-06,30.4200,31.1800,30.4000,30.5300,8524443,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-09,30.6900,30.9600,28.9000,30.0000,18624533,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-10,29.9800,30.8600,29.8100,30.4800,7537893,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-11,30.5200,30.7700,29.8000,30.2300,6847455,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-12,30.2300,31.3700,30.0000,31.1400,10079684,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-13,31.1300,31.3000,30.6500,31.0800,4842867,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-16,31.2900,31.2900,29.8000,30.5500,7687224,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-17,30.7200,30.7200,29.9100,30.2200,5917278,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-18,30.4800,30.6000,29.6700,29.6900,7531125,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-19,29.8800,29.8800,28.0500,28.4800,14160682,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-20,28.1600,28.4000,27.6200,27.9400,13456470,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-23,28.0900,28.8600,28.0100,28.6000,12289232,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-24,28.6400,29.6000,28.6400,29.0000,11759552,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-25,29.0000,29.5700,29.0000,29.0900,6047829,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-26,29.2700,29.4000,28.0000,28.1300,9135139,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-27,28.2900,28.5000,27.8000,27.9800,7470533,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-30,28.2000,28.4500,27.4500,27.5500,7697908,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-07-31,27.6200,27.7900,26.4200,26.6900,15269305,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-01,26.9300,27.1700,26.4100,26.5700,9618849,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-02,26.2200,26.3100,25.1600,25.5100,16614669,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-03,25.4000,25.7200,25.2000,25.6300,11586203,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-06,25.6300,26.4200,24.9000,25.0000,14967468,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-07,25.1400,26.1800,25.1400,26.0000,12205546,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-08,26.0000,26.3800,25.6100,25.8500,6589462,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-09,25.9500,27.0800,25.6500,27.0000,11094693,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-10,26.9700,27.1000,26.5200,26.9000,7263849,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-13,26.2800,28.3900,26.2700,27.8800,11546926,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-14,27.9900,27.9900,27.1000,27.4000,6087192,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-15,27.4800,27.5000,26.4600,26.6200,6495220,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-16,26.3400,27.1300,26.2100,26.7100,5482339,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-17,26.9600,27.3500,26.3800,26.4800,4461755,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-20,26.4700,27.6700,26.1900,27.3500,7767764,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-21,27.3500,28.0700,27.1600,27.9900,7349717,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-22,27.7800,27.9800,27.4100,27.8700,3218225,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-23,27.5300,28.3000,27.5300,27.7000,5342566,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-24,27.7000,27.8900,27.0900,27.1500,3892870,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-27,27.3800,27.8700,27.2500,27.6100,6345388,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-28,27.6100,28.2300,27.5000,27.9600,7140584,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-29,27.9600,27.9600,27.2500,27.5900,5552098,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-30,27.5100,27.6900,26.8900,27.0900,4027456,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-08-31,27.0000,27.0000,25.7900,26.0700,7862199,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-03,25.9200,26.4900,25.8300,26.1400,6055937,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-04,26.2600,26.4000,25.8200,26.2800,5652860,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-05,26.0600,26.2000,25.4800,25.5000,5160188,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-06,25.4700,26.4400,25.4300,25.9400,5990326,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-07,26.2800,26.3400,25.9400,25.9800,4245385,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-10,26.2000,26.2000,25.2600,25.5300,4771639,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-11,25.7800,25.7800,25.3300,25.5300,4270488,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-12,25.5800,25.6000,23.8600,24.7000,9909917,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-13,24.7100,25.6300,24.7100,25.6100,7253944,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-14,25.8200,26.4900,25.7000,26.1400,7650449,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-17,25.8500,26.9500,25.7500,26.2700,7984327,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-18,26.4400,26.6700,25.3000,25.9000,8801360,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-19,25.9000,27.0500,25.7000,26.9700,8734060,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-20,26.9000,27.1300,26.5000,26.6800,5575495,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-21,26.8600,27.1400,26.3400,27.0000,6580507,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2018-09-25,26.6600,27.2300,26.5500,26.6600,4120371,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
