time,open,high,low,close,volume,note
2019-07-22,91.3000,97.2000,66.3000,74.9200,58330685,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-23,70.0200,78.8800,70.0000,74.1300,23906020,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-24,74.1300,76.5500,72.5000,75.8800,21608530,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-25,75.0000,79.9800,74.6000,78.0000,24626920,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-26,76.7800,76.7800,70.3000,71.6800,16831530,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-29,71.0000,74.9000,70.9000,74.5800,15233656,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-30,74.4000,75.9000,72.3000,75.1000,15434911,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-07-31,74.9800,78.5000,74.4800,77.2700,18836308,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-01,76.0100,80.5000,75.6000,79.8000,20986740,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-02,78.0000,89.1400,77.6200,83.8700,31803531,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-05,84.5000,85.9100,79.3000,85.6600,24370858,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-06,84.0000,89.9500,73.8000,78.7000,28829476,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-07,80.2500,81.5000,75.3300,79.1300,16459262,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-08,79.3000,83.8900,78.0300,78.4900,15390115,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-09,79.0000,79.0000,74.7000,74.8300,13224224,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-12,74.5000,75.3000,71.7100,73.3000,9888454,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-13,72.9000,74.4200,72.3600,73.9900,8085744,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-14,74.8500,75.9700,74.0000,74.4100,8136375,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-15,72.4000,74.4200,72.0100,74.1100,6344409,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-16,74.6600,75.4900,73.6700,74.1800,5962029,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-19,74.6000,76.4600,73.5200,75.7600,9084341,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-20,75.7000,76.3900,74.6900,74.9800,5811733,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-21,74.6900,74.8800,70.1300,70.7000,10486912,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-22,70.7500,72.5500,70.0100,70.8500,5979728,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-23,70.9900,71.3200,66.6600,67.3400,10253197,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-26,66.7500,68.3900,66.7500,68.0000,4618014,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-27,68.6200,69.5000,67.8200,69.0600,5364052,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-28,68.8000,69.6500,67.6100,67.9600,4318428,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-29,67.9700,71.3300,67.0000,70.6900,8940314,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-08-30,71.0000,71.1000,69.1900,69.2800,6456719,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-02,70.0000,70.6500,68.4500,70.2000,5085739,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-03,69.8300,75.8600,69.6700,74.3900,11570311,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-04,74.0000,75.7500,73.2500,73.9300,6592636,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-05,74.2400,76.0600,73.4700,74.4100,7574412,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-06,74.7400,75.8600,71.7700,72.1000,6504305,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-09,72.7000,75.7800,72.2600,74.8900,8946474,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-10,74.9200,77.0000,73.9800,74.7000,7503136,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-11,74.3000,74.7000,73.1700,73.2300,4694050,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-12,73.3800,73.8800,70.6600,70.9500,6051890,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-16,71.0200,71.8900,70.6400,71.0000,2701930,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-17,71.0000,71.5800,68.8100,68.9900,3462527,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-18,68.9900,70.7700,68.9900,69.5000,3110510,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-19,69.3300,71.4900,69.3200,70.2900,4044468,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-20,70.3000,71.0400,69.5000,70.7000,3287438,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-23,70.0000,71.0000,68.9000,70.3900,3042553,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-24,70.4000,74.5200,70.4000,73.4100,8742349,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-25,72.9000,73.4000,70.2400,70.2600,4817713,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-26,70.6000,70.7200,66.5000,66.7200,4915553,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-27,66.8900,68.9700,66.8900,68.3000,2709350,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-09-30,68.3500,68.5000,62.0000,63.2700,4878548,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-10-08,63.2800,63.7900,61.0000,61.1700,2579943,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-10-09,60.3500,61.8500,60.3000,61.7600,1805609,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-10-10,61.9800,62.9500,61.7100,62.5000,1886487,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2019-10-11,62.8400,62.8700,61.4400,61.4400,1677064,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
