time,open,high,low,close,volume,note
2018-01-02,19.8100,19.9400,19.4400,19.6900,15328029,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-03,19.5800,20.2900,19.5800,19.8900,26843959,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-04,19.7300,20.1400,19.5100,19.6600,18958914,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-05,19.6400,19.8100,19.3500,19.4200,14037040,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-08,19.6000,19.8500,19.2300,19.8400,18619135,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-09,19.9000,20.0400,19.6000,19.6400,14000554,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-10,19.6500,19.6700,19.2200,19.4200,12066203,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-11,19.4100,19.8300,19.2600,19.8300,17103241,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-12,19.7500,19.8200,19.3800,19.4200,11961823,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-15,19.3000,19.3500,17.5600,17.8300,32169027,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-16,17.9000,18.1700,17.7600,17.9500,14317514,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-17,17.9600,17.9600,17.0000,17.7300,17014757,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-18,17.6800,17.9800,17.5300,17.7500,9487620,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-19,17.7500,17.9900,17.5900,17.7800,9125240,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-22,17.7800,18.2800,17.5200,18.1500,13626506,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-23,18.1500,18.3300,18.0500,18.1600,9497489,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-24,18.1500,18.4700,17.8400,18.4300,15714997,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-25,18.3700,18.8500,18.3000,18.3700,17361952,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-26,18.2500,18.5400,17.9000,18.0000,13070461,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-29,17.9100,18.2200,17.8800,18.0500,8228821,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-30,18.0000,18.5500,17.9500,18.2500,13953170,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-01-31,18.2200,18.2300,17.5000,17.5900,14476258,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-01,17.7000,17.9000,16.6200,16.7300,14168894,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-02,16.7000,16.8400,15.9000,16.5600,10031201,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-05,16.3000,16.5000,16.1900,16.3100,7190161,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-06,16.0300,16.0500,14.8000,14.8100,17531130,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-07,15.2700,15.3800,14.3200,15.0600,13972976,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-08,15.1700,15.5900,15.0000,15.5000,11640967,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-09,15.3200,16.2000,15.0700,15.7000,22354267,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-12,15.8100,17.2700,15.8100,17.2700,29936139,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-13,17.4000,17.5600,16.8800,16.9600,26175886,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-14,16.6500,17.2100,16.4600,16.9100,15632463,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-22,17.0800,17.7600,17.0500,17.2100,21252207,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-23,17.0400,17.4300,16.7800,17.4200,19143543,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-26,17.5700,17.8800,17.2200,17.7200,23821711,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-27,17.4500,17.7700,17.2900,17.3100,17259600,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-02-28,17.2800,18.0900,17.1700,17.8200,28211399,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-03-01,17.6900,18.0700,17.5800,17.9900,21716802,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-03-02,17.7800,18.6500,17.7200,17.7700,29320522,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-03-05,17.7200,17.9600,17.5000,17.9100,15618994,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2018-03-06,17.9500,18.4500,17.9400,18.2200,23476767,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
