time,open,high,low,close,volume,note
2018-01-02,35.6800,36.2000,35.2200,35.6100,3185344,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-03,35.6400,35.9000,34.9000,35.3500,2708242,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-04,35.3500,35.8000,35.0500,35.3500,1699400,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-05,35.2000,36.0200,35.0500,35.5000,2062909,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-08,35.8500,35.8500,34.5100,35.1500,2203711,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-09,34.8700,35.4800,34.8400,35.2900,1412846,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-10,35.1500,35.7500,34.2200,34.4900,1562700,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-11,34.3900,35.0500,33.7900,34.9700,1982036,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-12,34.6200,34.8700,33.5100,34.0000,2023947,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-15,33.8900,34.9700,33.2000,33.8700,3181892,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-16,33.6700,34.5800,33.5000,34.4600,2497289,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-17,34.0800,34.4100,33.5000,34.0000,2574621,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-18,33.8000,35.4900,33.7200,35.1900,3103384,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-19,35.2000,35.2000,33.8800,33.9100,3129870,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-22,33.5000,34.9500,32.9000,34.9500,3266565,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2018-01-23,34.7300,35.4900,34.7000,35.0100,1769104,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
