time,open,high,low,close,volume,note
2019-07-22,11.7000,15.2100,7.6900,12.2700,923624416,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-23,9.8800,10.9800,9.6100,10.0100,411158512,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-24,10.0900,10.2600,9.9000,10.2000,311232976,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-25,10.1400,10.9000,10.1000,10.6100,351993488,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-26,10.3900,10.4400,9.9600,10.0100,231952760,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-29,10.1000,10.4200,10.0500,10.2800,198419330,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-30,10.2300,10.3400,10.1000,10.2300,180915589,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-07-31,10.2300,10.5300,10.1900,10.3300,203908274,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-01,10.1800,10.6400,10.1300,10.5800,288884368,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-02,10.3500,12.6800,10.3200,12.1200,602930304,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-05,12.1200,12.6000,11.6400,12.5600,405434992,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-06,12.3800,13.7700,11.5500,12.0300,552891584,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-07,12.3000,12.4700,11.3300,11.8300,335031888,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-08,11.7300,11.8700,11.1800,11.2200,222879402,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-09,11.3300,11.4200,10.9000,10.9600,192372048,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-12,11.0000,11.0000,10.3400,10.5500,180268648,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-13,10.5100,10.8200,10.4600,10.7500,137280454,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-14,10.8900,10.9200,10.6400,10.6700,124196210,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-15,10.3900,10.6500,10.3300,10.5800,107584436,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-16,10.5800,10.7400,10.5600,10.5700,87541336,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-19,10.6000,10.6300,10.3800,10.6100,115891658,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-20,10.6200,10.6600,10.5100,10.5300,79522076,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-21,10.5200,10.5900,10.0600,10.1500,149492546,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-22,10.1600,10.2400,9.9800,10.1100,75759364,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-23,10.1300,10.1700,9.7000,9.7700,130777270,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2019-08-26,9.6600,9.9800,9.6200,9.8200,75613502,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
