time,open,high,low,close,volume,note
2018-01-02,94.9900,95.0000,91.0000,92.3300,729816,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-03,92.3500,93.8900,91.3000,93.6000,678000,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-04,93.8000,95.4700,92.5300,93.3000,674724,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-05,92.9000,93.5400,90.0000,91.0000,667224,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-08,90.1200,90.8200,87.3900,89.0100,768155,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-09,88.5700,89.3000,86.5000,86.8200,582700,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-10,86.0100,87.4000,81.8600,81.8600,901019,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-11,81.8000,83.6800,79.9800,82.8800,733896,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-12,82.4200,83.5000,79.8000,82.2700,842382,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-15,81.6000,81.6200,75.6200,76.5800,778530,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-16,76.4000,77.9000,75.9100,76.8100,630944,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-17,76.2100,80.4900,75.8200,79.8900,688737,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-18,79.1700,84.7000,77.8100,84.0300,986120,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-19,81.9400,85.3500,80.7500,83.2000,1018400,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-22,83.0500,83.5000,80.2100,81.8800,463332,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-23,81.6100,83.3000,80.5300,80.9600,415100,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-24,80.3000,85.7800,79.6900,85.0500,952632,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-25,84.8800,85.1800,82.8100,82.8100,387800,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-26,82.7800,83.6500,82.0000,82.2900,219007,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-29,82.2000,83.2800,79.8500,80.1000,349507,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-30,80.9500,80.9500,79.0000,79.3000,218966,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-01-31,78.3700,79.3800,76.7000,76.7000,333100,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-01,77.7000,77.9300,76.1600,76.6000,211166,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-02,76.5500,82.4700,75.5100,79.9500,679307,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-05,78.5300,81.5000,77.8000,78.1500,298707,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-06,74.5500,78.6000,74.0000,74.3200,455200,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-07,75.5100,77.4900,73.4400,75.8300,330000,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-08,75.0000,79.9400,75.0000,79.3200,478373,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-09,77.0800,81.4900,76.5300,79.1100,445500,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-12,81.9700,82.5800,80.1400,81.2000,335700,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-13,82.2000,82.2000,79.6000,79.8900,257800,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-14,79.8900,80.1200,78.1100,78.7100,176300,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-22,80.4800,81.9700,78.8800,81.1100,284400,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-23,80.8000,82.3400,80.3400,81.9600,279900,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-26,83.0000,88.8700,81.8100,87.6000,763803,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-27,87.6000,88.9800,86.0000,87.0100,448800,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-02-28,86.5000,89.8700,86.0700,87.0900,444800,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-01,86.1000,90.8000,85.9500,88.9100,514216,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-02,88.0000,89.4600,85.2100,85.8100,459768,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-05,86.2800,94.3900,86.1000,92.8900,1028052,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-06,92.5000,95.0000,91.6000,92.0000,642800,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-07,92.5000,93.4700,91.0100,92.4200,454227,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-08,91.9800,93.3900,90.9000,92.5300,368284,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-09,92.0800,96.1100,92.0800,94.9400,783111,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-12,95.6300,99.9500,95.6300,99.7300,896791,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-13,98.3800,100.8000,97.0400,97.9000,514216,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-14,96.8000,98.1900,95.8000,96.0900,373000,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-15,95.1800,98.8800,95.0000,97.4300,502600,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-16,96.9000,103.4900,95.0000,95.5000,860400,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-19,95.5000,99.4800,94.9900,98.6500,469026,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-20,97.9800,105.6800,97.3300,104.0000,804700,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-21,105.0000,106.0000,101.0000,101.0000,506300,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-22,100.1300,111.0700,100.1300,108.7000,840600,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2018-03-23,104.9000,107.7800,97.8300,102.0000,820915,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
