time,open,high,low,close,volume,note
2018-01-02,40.8300,41.3100,39.8100,40.8600,16014428,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-03,40.9900,42.6400,40.5100,42.6100,26750010,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-04,42.5200,43.0300,42.1500,42.5800,21343614,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-05,43.0000,44.8600,42.5200,42.5900,26255059,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-08,42.0000,42.1900,40.6900,41.3600,18983745,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-09,41.4000,41.8500,40.8000,41.7700,12760391,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-10,41.6000,41.7000,38.8000,39.7200,23833115,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-11,39.4000,41.0800,38.8800,40.9400,21265636,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-12,40.7800,40.8000,39.4200,39.5200,14563336,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-15,39.1000,39.3000,35.8000,36.6100,26129050,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-16,36.5000,37.4000,35.9400,36.6700,20792648,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-17,36.6700,37.3300,35.3800,36.6900,23980831,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-18,36.1100,36.9700,36.0100,36.3000,12064453,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-19,36.4200,37.2300,36.1000,36.2500,13266741,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-22,36.2300,37.5500,35.5500,37.1800,20058745,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-23,36.9900,37.7700,36.9000,37.6400,15570644,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-24,37.6000,41.3000,37.1100,41.0800,33751956,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-25,40.7500,42.0000,40.5000,40.8200,28817909,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-26,40.7000,41.7900,40.4200,41.3100,18634347,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-29,41.4300,42.4800,38.9300,39.4900,25789191,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-30,39.2000,40.4800,39.0000,39.9500,14476322,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-01-31,39.5000,40.4900,37.8100,38.0500,19050034,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-01,38.3000,39.2900,37.2000,37.8100,20615549,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-02,38.1800,40.1700,37.0500,39.4000,21504130,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-05,38.7600,39.3900,37.4100,37.5300,19873912,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-06,35.5000,36.3500,33.8200,34.0600,28132702,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-07,35.1900,35.4500,33.7800,34.8200,19013335,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-08,34.8000,36.1700,34.5100,35.8700,15942593,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-09,34.3700,36.2500,34.3700,35.3100,19141799,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-12,35.8200,37.4200,35.5500,37.0300,15781651,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-13,37.6000,38.3100,36.6900,36.8200,16077183,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-14,37.1500,38.0000,36.9100,37.7000,11969680,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-22,37.9900,39.8900,37.3400,39.4000,20152035,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-23,39.0000,39.5900,38.5000,39.1500,14918707,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-26,39.3500,42.3700,39.3500,41.6400,33124643,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-27,41.9000,43.6200,41.4400,41.5600,36782241,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-02-28,41.1300,43.5800,41.0600,43.1100,29060039,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-01,42.6000,46.2600,42.3100,45.4600,41778155,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-02,45.0300,47.5000,44.5300,45.8100,37305367,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-05,46.6200,49.7500,45.8100,49.4600,37930606,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-06,49.9900,49.9900,47.5000,48.4600,36848175,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-07,48.1800,49.2900,47.3000,47.8900,26044304,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-08,47.8900,48.8600,46.8600,47.5000,23689947,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-09,47.5500,50.8800,47.3500,49.5200,36410644,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-12,50.0000,51.2300,49.0000,49.9900,29690229,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2018-03-13,49.5200,53.8800,49.4600,51.9100,37974800,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
