time,open,high,low,close,volume,note
2018-01-02,21.4600,22.1000,21.2000,21.9900,32192180,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-03,21.8000,22.2300,21.6000,21.9200,30033943,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-04,21.9100,22.3900,21.5900,21.7700,35270879,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-05,21.5300,21.7800,21.0600,21.0800,25751020,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-08,20.9600,21.2600,20.3800,20.8700,33570760,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-09,20.8900,20.9700,20.4600,20.8600,23941013,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-10,20.7500,21.0900,20.2800,20.7800,29149193,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-11,20.5600,21.0000,20.3000,20.7400,26023784,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-12,20.8100,21.1300,20.5300,20.5800,19035488,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-15,20.4100,20.4500,18.5700,18.7900,54139370,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-16,18.6000,18.9100,18.2500,18.4900,33454293,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-17,18.4400,19.0500,17.8300,18.6700,36525266,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-18,18.5000,18.8400,18.3200,18.6000,18790979,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-19,18.6100,19.1500,18.6100,18.7800,20982346,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-22,18.7800,19.4400,18.2500,19.3300,25430331,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-23,19.4000,19.5800,19.1900,19.3500,18694508,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-24,19.3200,20.5200,19.1100,20.4500,38032298,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-25,20.3000,20.4800,19.8200,19.8900,19226104,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-26,19.8600,20.3700,19.8500,19.9200,13638074,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-29,19.9000,20.2600,18.6800,18.8200,30303792,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-30,18.8300,19.1300,18.7100,18.9600,13085212,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-01-31,18.7400,19.1200,18.5800,18.9000,15734930,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-01,18.7700,19.1400,18.2000,18.2300,19748495,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-02,18.2800,18.9000,17.8500,18.5100,20806140,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-05,18.2000,18.4100,17.8200,17.9700,21445911,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-06,17.3000,17.6200,16.8200,16.8400,33901055,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-07,17.3700,17.4500,16.4200,17.2000,27978902,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-08,17.1500,17.8100,17.1200,17.5500,20875806,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-09,17.0100,17.7100,16.8100,17.1600,21252704,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-12,17.2900,18.0000,17.2900,17.8400,26075261,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-13,17.9000,18.3300,17.6300,17.6600,22357472,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-14,17.7500,17.8200,17.2500,17.5100,10629994,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-22,17.6600,18.3600,17.6300,18.0900,18074162,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-23,18.0800,18.2400,17.8100,18.1300,13384388,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-26,18.2900,19.8400,18.1900,19.3900,49374838,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-27,19.5200,20.1500,19.4100,19.5000,45164541,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-02-28,19.4400,20.1600,19.2600,19.7800,32034071,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-03-01,19.6500,21.0000,19.4700,20.7000,44728489,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-03-02,20.4500,21.2000,20.1700,20.5300,33704792,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-03-05,20.6500,21.0400,20.3100,21.0300,31876263,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-03-06,21.0900,21.8800,20.8700,21.0200,48240492,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2018-03-07,20.8800,21.4700,20.8600,20.9900,26175617,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
