time,open,high,low,close,volume,note
2026-01-05,28.8300,29.3600,28.8000,29.3300,185177013,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-06,29.3600,30.2500,29.3300,30.1900,334935799,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-07,30.2100,30.2100,29.4000,29.5000,229502122,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-08,29.2900,29.2900,28.4500,28.5400,315027225,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-09,28.5400,28.6700,28.3500,28.5700,232677161,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-12,28.5700,28.8500,28.4100,28.7800,217308310,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-13,28.8500,29.1500,28.4800,28.5500,215969109,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-14,28.4900,29.1300,28.1500,28.2300,321882341,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-15,28.3800,28.8000,28.2300,28.2800,207814142,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-16,28.5000,28.5700,27.9900,28.0800,209581279,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-19,27.7400,27.9700,27.7000,27.9100,159433764,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-20,27.9300,28.1500,27.9100,28.0500,138513336,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-21,28.0300,28.1100,27.7900,27.9400,141050126,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-22,27.9000,28.2200,27.8200,27.9200,172592474,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-23,28.0000,28.0600,27.7000,27.7700,188106135,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-26,27.7700,28.4400,27.7100,28.0700,263751164,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-01-27,28.0900,28.1400,27.8000,27.8600,141523812,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
