time,open,high,low,close,volume,note
2018-01-02,32.5000,33.0800,32.1700,32.9000,6344324,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-03,32.9500,33.6000,32.5000,33.4600,7164257,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-04,33.5000,33.6200,33.1300,33.1400,5344074,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-05,33.1100,33.6000,32.6500,32.7000,5195166,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-08,33.6800,34.2800,32.7100,33.1200,7904371,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-09,32.9200,32.9900,31.8200,32.1200,6736201,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-10,31.8900,31.9800,30.7000,31.1800,7600732,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-11,31.2000,32.0000,30.6800,31.8900,8022984,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-12,31.9900,31.9900,30.0200,30.0900,10998164,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-15,29.5900,29.8700,27.9800,28.2500,8464195,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-16,27.9900,28.7200,27.9200,28.3600,4461818,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-17,28.4900,29.2000,27.2500,28.5900,7139073,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-18,28.3000,28.8800,28.0700,28.1500,3495725,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-19,28.1500,28.7200,28.1000,28.1800,3066070,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-22,28.2200,29.4500,27.8900,28.9900,6772023,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-23,28.9400,29.1900,28.5600,28.7800,3582082,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-24,29.1900,31.6400,28.6900,31.6400,14361570,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-25,31.3500,32.2800,30.7400,30.8000,11007750,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-26,30.6500,31.1600,30.4000,30.5500,4283953,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-29,30.6600,31.3000,29.7600,29.7700,5393327,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-30,29.9600,30.2900,29.7200,29.9600,3322425,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-01-31,29.5000,29.5000,28.1100,28.1600,6471667,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-01,28.5500,28.8800,27.7200,27.8000,5541958,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-02,28.0000,28.6600,27.0000,28.0500,4531218,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-05,28.0000,28.2900,27.5200,27.5600,3185216,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-06,26.5000,26.7500,24.8000,24.8000,8987103,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-07,25.7800,25.7800,23.8500,24.8300,5759058,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-08,24.7000,25.9700,24.6100,25.8500,5053769,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-09,24.4300,26.0900,24.0300,25.1500,5543912,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-12,25.4700,26.5000,25.4700,26.0500,4293136,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-13,26.8300,26.8700,25.7400,25.7600,2973016,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-14,26.0000,26.1000,25.6100,25.6800,2051902,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-22,26.0600,27.0900,25.8500,27.0300,4234292,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-23,27.5500,28.3900,27.0000,27.0400,8077591,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-26,27.7700,28.8800,27.1200,28.6900,9680754,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-27,28.4800,29.4400,28.3000,28.6100,8750032,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-02-28,28.0000,29.4800,27.9000,28.6000,6895900,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-01,28.3000,30.2700,28.1000,29.6000,11584304,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-02,29.2000,30.6500,29.1800,29.7100,10304324,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-05,30.1200,30.7100,29.3900,30.4900,8177473,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-06,30.5600,31.9400,30.0100,30.1600,11188508,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-07,29.9800,30.3200,29.2500,29.7000,6901967,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-08,29.9000,30.7800,29.6000,29.8900,6749512,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-09,30.2100,31.5600,29.8000,31.2400,11521115,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-12,31.8500,32.8800,31.6800,32.0800,12981145,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-13,31.8500,34.3600,31.6100,32.5600,13728834,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-14,32.5000,33.0500,31.0700,31.2000,9769525,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-15,31.4600,31.5000,29.9800,31.1000,8526822,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-16,31.7000,32.2300,31.1900,31.2000,6589408,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-19,32.6000,32.7500,31.8000,32.1200,9060130,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-20,31.4000,32.2700,31.1100,32.1400,6366422,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2018-03-21,32.2900,32.6500,30.8000,30.8600,7868057,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
