time,open,high,low,close,volume,note
2021-04-12,83.0500,85.5000,81.6100,83.5700,3855990,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-13,82.2300,85.5800,79.8000,84.5600,4154910,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-14,85.5900,85.5900,82.6700,83.0800,2995225,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-15,82.5000,84.5000,81.0500,83.7300,2497568,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-16,83.7300,84.2000,81.4600,82.0500,2309045,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-19,81.0000,85.8000,81.0000,84.4400,3493332,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-20,82.8900,83.9800,81.8500,82.0100,2971978,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-21,81.1200,83.2400,81.1000,82.3300,2272840,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-22,82.9700,87.6600,82.9700,84.1200,4425533,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-23,82.8100,84.9700,82.0000,83.5700,3417260,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-26,83.0000,86.9000,82.4700,82.9100,4183354,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-27,82.0000,82.4800,76.8000,78.1600,4689076,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-28,77.5400,81.2000,77.3800,79.7900,2531478,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-29,80.1500,83.6800,80.1500,80.3100,3478390,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-04-30,79.0300,81.8000,78.2000,80.2600,2558844,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-06,79.0800,79.5000,77.2000,77.6600,2263263,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-07,77.6800,78.3300,74.0000,74.5500,2551300,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-10,73.5000,75.4000,72.5200,74.0700,1498500,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-11,73.3300,75.4000,73.3000,74.7500,1451022,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-12,75.4900,75.7600,73.4500,75.1000,1839678,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-13,74.0000,77.9300,73.5700,75.2700,2311600,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-14,74.9000,77.2600,74.0000,76.5500,2432621,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-17,76.7200,78.7800,75.8000,76.3700,2086348,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-18,75.8100,76.3300,74.4900,75.4900,1502658,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-19,75.0600,77.6000,75.0000,76.6300,2064248,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-20,76.3000,77.2000,74.7700,74.8100,1938295,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-21,74.9000,75.8600,73.8000,73.9800,1477137,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-24,73.5000,75.1400,72.6800,75.0000,1897684,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-25,75.2600,76.7700,74.6000,76.3400,2654094,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-26,77.4000,77.4000,75.0000,75.0900,2342050,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-27,74.6000,82.6000,74.5000,82.6000,5162451,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-28,85.5500,90.6300,82.1300,88.0500,11551573,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-05-31,90.8300,91.8600,87.3800,89.0000,6875100,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-01,87.4100,93.4300,86.4400,88.8600,5105366,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-02,88.7100,89.7400,86.1800,86.6700,3273633,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-06-03,86.5000,87.5200,83.9900,84.5100,2635762,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
