time,open,high,low,close,volume,note
2022-07-29,69.0500,75.5000,68.0600,75.0000,50798556,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-01,73.9000,76.0100,71.0100,76.0100,27599952,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-02,73.9900,80.1100,72.4000,79.7000,25538052,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-03,78.9400,100.4600,77.6100,92.0200,29398936,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-04,93.0000,108.3800,92.9000,105.0000,23401536,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-05,106.2900,126.0000,106.1000,126.0000,14250143,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-08,140.0100,145.9800,117.0100,138.0000,31166580,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-09,128.0100,132.7700,124.0000,129.9800,26607815,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-10,125.0000,134.4000,123.0300,123.0500,24812076,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-11,122.3000,127.9900,118.2000,119.9000,21672664,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-12,117.2100,121.7900,111.6600,114.8700,20540665,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-15,121.0000,133.5000,120.0000,121.8000,28002389,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-16,116.0000,126.4300,114.6800,125.0200,20921256,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-17,124.0000,125.0000,117.0000,117.0500,18883257,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-18,115.2300,126.7500,115.2300,122.0200,20334929,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-19,120.0800,124.9900,112.2200,113.1900,19922648,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-22,109.0000,113.7800,107.3900,108.8900,13476494,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-23,109.4600,113.9400,107.7000,110.6100,11400704,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-24,110.8600,115.4800,110.1000,111.1100,14232007,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-25,111.7000,111.8000,96.6600,97.5500,18210174,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-26,98.1200,99.1200,93.8800,94.0400,11959596,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-29,92.0000,99.0000,91.7000,96.8000,9985449,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-30,96.8000,99.6900,94.8400,95.1100,7677394,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-08-31,95.0200,100.3000,95.0100,98.0200,13304306,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-01,99.0000,102.8700,94.9800,95.2000,11240595,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-02,95.0000,99.4800,94.1000,98.4000,10554714,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-05,96.5400,98.2700,92.6000,95.7500,9806985,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-06,95.6900,97.3000,93.8000,95.8400,7074466,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-07,98.0000,106.4600,97.9400,104.4400,17519298,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-08,102.0000,104.3000,101.0100,102.2000,9496029,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-09,103.5000,107.5000,101.5000,106.5000,11090923,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-13,106.0000,112.5800,103.8100,104.2300,12794124,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-14,102.5000,111.3000,102.4000,109.9400,12985400,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-15,108.7000,111.1700,106.9900,111.1700,11980414,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-16,109.7800,118.4000,109.0000,115.3900,15890477,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-19,114.9300,117.8800,105.1800,105.3000,14379341,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-20,105.0000,107.5600,102.8800,106.1200,9490940,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-21,104.0000,105.6100,99.1200,101.3800,10139363,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-22,101.5000,106.8000,100.7400,104.5100,9636782,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-23,103.7900,105.4800,101.3000,101.3300,7243930,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-26,99.5500,101.9700,98.1100,98.1400,7544089,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-27,98.0000,102.9700,97.9600,102.0500,9332528,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-28,102.0600,103.9000,98.9300,100.8500,8826143,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-29,102.1500,102.8300,98.0500,98.8500,7690500,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-09-30,99.2000,99.8800,90.0100,90.3000,9581339,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-10,89.9900,92.6000,87.6600,89.0200,6626744,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-11,89.0200,92.5000,86.7700,91.6500,7299808,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-12,90.8800,96.9800,88.9000,96.9400,9825645,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-13,96.0000,100.7500,95.2700,99.1900,10060443,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-14,99.1500,100.4800,96.8000,99.1000,8271790,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-17,97.8000,103.4500,97.2500,102.9800,8504440,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-18,104.0000,104.3400,99.3100,100.0000,6335577,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-19,99.0000,101.4000,97.6300,98.5000,5005407,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-20,97.2100,107.9300,97.0000,104.5000,11708800,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-21,102.4100,103.8000,100.1900,102.9700,6924531,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-24,102.0000,106.0000,101.6100,101.9100,7667249,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-25,101.2000,105.5900,100.0300,102.1700,6809185,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-26,102.3200,107.7700,99.6600,107.0600,10313032,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-27,106.0900,110.0000,104.8600,106.6200,9600165,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-28,104.9100,112.3800,104.9000,108.0800,10051095,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-10-31,107.0000,115.8200,106.8200,113.7800,10049485,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-01,112.9800,114.7600,110.1800,114.2200,7417083,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-02,113.8700,115.9800,105.0100,105.5300,11451578,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-03,103.4400,109.2600,103.0300,108.3700,8327657,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-04,107.9000,108.6800,105.1300,107.8800,6097443,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-07,107.6300,109.8100,105.5000,106.2000,4551355,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-08,106.2200,107.9700,105.0000,107.1500,4380252,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-09,106.8000,107.0700,103.1900,103.6000,5334107,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-10,103.6000,105.6500,100.2000,100.6900,5239189,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-11,103.6600,105.1000,101.0100,101.0500,5647852,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-14,99.8000,102.2300,99.0000,100.4800,3771216,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-15,100.6100,105.0400,100.2800,104.0300,6144537,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-16,104.0000,104.8000,99.0500,99.2000,5606145,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-17,99.0200,101.2300,97.8000,101.0600,4196085,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-18,99.9500,101.1800,97.8000,98.0200,4779931,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-21,96.0000,98.4600,93.6000,95.9600,5317870,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-22,95.1100,97.2900,94.1800,95.7200,3112660,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-23,95.0000,96.5800,91.5700,96.5400,4674246,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-24,96.6000,96.8000,94.0100,94.4400,3078754,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-25,94.3000,96.1700,93.1900,94.5100,2783608,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-28,92.9100,95.0100,92.5000,94.4700,2348584,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-29,94.6300,96.5600,94.0200,96.3300,3326755,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-11-30,96.0000,96.3100,93.4700,93.8700,3304551,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-01,95.0000,97.3200,94.6000,96.3500,4741928,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-02,96.4000,97.8000,95.7000,96.0900,3339413,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-05,96.0900,97.1800,94.4400,95.3700,3116788,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-06,95.4100,100.3500,94.9600,98.8700,6073251,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-07,97.9000,98.0900,96.5000,97.6100,3446643,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-08,97.5000,98.2600,94.5200,94.9300,3874716,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-09,94.4700,99.5000,94.2000,96.7300,6069769,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-12,96.7300,103.0000,96.3000,100.9000,6649434,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-13,99.5000,102.0000,99.0000,99.9200,3047946,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-14,103.6900,105.5000,100.5800,100.8500,5734560,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-15,100.0800,104.3500,99.1800,102.3000,4575214,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-16,100.8000,102.3800,98.0000,98.1000,3627316,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-19,97.2300,98.9700,94.0100,94.2100,2926603,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-20,94.4000,95.2400,92.9000,93.6200,2407380,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-21,93.5100,93.9400,89.5500,91.3700,3226370,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-22,91.4000,92.0700,89.6000,89.9000,1720891,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-23,88.6700,89.9800,87.0800,87.8500,2348282,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-26,87.9800,90.4800,87.9800,89.6600,2682558,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-27,89.7700,91.0000,88.5800,90.7300,2490906,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
2022-12-28,90.0000,90.1700,88.1000,88.4000,2326571,sz.301269 | 华大九天 | baostock | adjustflag=3 raw
