time,open,high,low,close,volume,note
2026-01-05,21.1100,21.3500,21.0100,21.2600,77539132,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-06,21.2500,22.0000,21.2100,21.8800,87727241,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-07,21.8800,21.9500,21.6200,21.7300,58527999,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-08,21.7200,21.8300,21.3100,21.4300,51776171,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-09,21.5700,22.3800,21.5700,22.2800,110415456,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-12,22.3200,22.7000,22.0600,22.5600,93456038,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-13,22.7000,22.9500,22.2800,22.6200,93479014,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-14,22.6200,22.7900,22.0200,22.2400,93230801,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-15,22.1500,22.4400,22.0500,22.2500,57039185,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-16,22.1900,22.5400,22.0100,22.1100,68487410,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-19,21.9800,22.2700,21.8900,22.1000,71685411,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-20,22.2000,22.6300,22.1300,22.5500,100454143,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-21,22.5300,22.8200,22.4100,22.5800,79854638,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-22,22.6100,22.6900,22.3500,22.6100,64258926,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-23,22.7100,23.2300,22.6200,22.9800,99390105,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-26,23.0300,23.4200,22.8000,23.0500,99202230,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-27,23.0400,23.3200,22.6800,22.8300,76637685,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-28,22.7800,22.7800,22.1800,22.2500,109257224,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-29,22.4500,22.4500,21.7500,22.1200,95732630,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-01-30,22.0800,22.2600,21.7100,21.9200,62232706,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-02,22.0300,22.0400,21.3000,21.3800,61528219,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-03,21.4500,23.1100,21.4400,23.0800,131205673,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-04,22.9100,23.3000,22.8000,23.2600,85973256,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-05,23.2500,23.4000,23.0200,23.2700,68288274,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-06,23.0500,23.2900,22.8900,22.9800,47720974,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-09,23.3800,23.9100,23.2600,23.5800,72556705,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-10,23.6800,23.8600,23.3400,23.7800,60307203,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-11,23.8400,24.2600,23.7000,23.9200,68006456,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-12,23.9900,24.0800,23.6900,23.9600,47617472,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-13,23.7600,23.8600,23.0700,23.1200,59102138,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-24,23.3200,24.2100,23.0200,23.9500,80532265,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-25,23.9500,24.2900,23.8800,23.9800,62630632,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-26,23.9600,23.9900,23.2500,23.3500,55722569,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-02-27,23.4400,23.5900,23.0300,23.1500,53236487,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-02,23.0000,23.3700,22.7700,22.9700,54796598,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-03,23.1300,23.2600,22.0000,22.1900,87191466,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-04,22.0000,22.3200,21.7700,22.0100,51011803,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-05,22.2600,22.7300,21.9600,22.0800,64932098,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-06,22.1200,22.2000,21.8100,22.0300,65971930,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-09,21.6700,21.6800,20.8300,21.2700,88810646,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-10,21.6500,22.2600,21.5800,22.0600,76912366,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-11,22.3000,22.3400,21.7400,22.2500,63770797,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-12,22.1000,22.1400,21.1100,21.5100,103712265,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-13,21.3900,21.6900,21.2700,21.2900,56870719,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-16,21.2700,21.2900,20.7300,20.8500,71845667,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-17,20.9900,21.2200,20.7600,20.7600,55120633,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-18,20.8200,20.8600,20.2700,20.7000,63874952,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-19,20.4400,20.4600,19.6400,19.7600,103647065,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-20,19.8600,19.9100,19.4300,19.4300,62243262,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-23,19.0200,19.2100,18.4500,18.6500,100994864,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-24,18.8000,19.2000,18.7200,19.1300,69990877,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-25,19.5000,19.8600,19.4300,19.7300,71114883,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-26,19.7000,19.7400,19.1700,19.2600,41874769,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-27,19.0300,19.2900,18.9700,19.1600,55301541,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-30,18.8100,19.0000,18.6100,18.8700,65071345,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-03-31,19.0000,19.8000,18.9600,19.2200,122997001,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
2026-04-01,19.8100,20.3300,19.6900,20.3000,130414126,sh.600031 | 三一重工 | baostock | adjustflag=3 raw
